Name,Assets
State Bank of India,0.1014
NTPC Ltd.,0.07339999999999999
Oil & Natural Gas Corporation Ltd.,0.0581
Power Grid Corporation Of India Ltd.,0.0524
Bank Of Baroda,0.0506
Coal India Ltd.,0.05
GAIL (India) Ltd.,0.049800000000000004
Bharat Electronics Ltd.,0.0449
Bank of India,0.042699999999999995
NMDC Ltd.,0.0388
Hindustan Aeronautics Ltd.,0.0304
Bharat Heavy Electricals Ltd.,0.0298
Life Insurance Corporation of India,0.024900000000000002
Container Corporation Of India Ltd.,0.024
Punjab National Bank,0.0206
Power Finance Corporation Ltd.,0.0183
Indian Oil Corporation Ltd.,0.0178
Bharat Petroleum Corporation Ltd.,0.017
NLC India Ltd.,0.016399999999999998
LIC Housing Finance Ltd.,0.0163
Indian Railway Catering And Tourism Corporation Ltd.,0.0155
Indraprastha Gas Ltd.,0.0129
Gujarat Gas Ltd.,0.012
Mahanagar Gas Ltd.,0.0115
BEML Ltd.,0.0111
Rites Ltd.,0.0105
Gujarat State Fertilizers & Chemicals Ltd.,0.0102
The Jammu & Kashmir Bank Ltd.,0.0102
Steel Authority Of India Ltd.,0.0083
Engineers India Ltd.,0.008100000000000001
Mazagon Dock Shipbuilders Ltd.,0.008100000000000001
MOIL Ltd.,0.0063
Hindustan Petroleum Corporation Ltd.,0.005699999999999999
Union Bank of India,0.005600000000000001
Bank of Maharashtra,0.0049
Petronet LNG Ltd.,0.0032
Bharat Dynamics Ltd.,0.0028000000000000004
National Aluminium Company Ltd.,0.0016
Tamil Nadu Newsprint & Papers Ltd.,0.0014000000000000002
Gujarat Alkalies And Chemicals Ltd.,0.0013
BEML Land Assets Ltd.,0.0005
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,0.0005
REC Ltd.,0.0003
